,Date,Player,Oppoent,Old Elo,New Elo,Elo Change
0,2022-05-11,maboroshi,Chun,953.4841241305543,952.7249160320782921238814490,-0.7592080984759859298693006774
1,2022-05-11,Chun,maboroshi,2159.747887525563,2160.106789554042018769329471,0.3589020284791451352853900273
2,2022-05-11,GodFather,Magic,812.8225919931868,812.6682027045770339541849338,-0.1543892886098135490538894648
3,2022-05-11,Magic,GodFather,2349.736326214021,2349.786000108060650645278121,0.04967389403953155990476406164
4,2022-05-12,Jak,Sum,2195.416717577664,2211.726554306270151743449803,16.30983672860634850316547931
5,2022-05-12,Sum,Jak,2095.6025289126706,2079.993260174006224052935414,-15.60926873866432614559163900
6,2022-05-16,軒,Bus,829.9214231672378,825.2822305293680984379606750,-4.639192637869677959126470597
7,2022-05-16,Bus,軒,1754.2541730189494,1756.993451093972318828655960,2.739278075022959653488913513
8,2022-05-16,Chun,Rado,2160.106789554042,2177.888338418160170299828260,17.78154886411834541418424135
9,2022-05-16,Rado,Chun,2067.054985588267,2050.254740840501042805632446,-16.80024474776580249213440340
10,2022-05-16,Bus,GodFather,1756.9934510939722,1759.237487617982263884842728,2.244036524010038022171106856
11,2022-05-16,GodFather,Bus,812.6682027045771,808.8142584174733453152739621,-3.853944287103738435062934528
12,2022-05-18,Sum,Magic,2079.993260174006,2066.300351546592276178256950,-13.69290862741380561915844061
13,2022-05-18,Magic,Sum,2349.7860001080608,2360.801689152053128262726054,11.01568904399236655861644487
14,2022-05-20,軒,maboroshi,825.2822305293681,767.4162613942308811515638467,-57.86596913513723994535870365
15,2022-05-20,maboroshi,軒,952.7249160320783,1005.897103878869675459607527,53.17218784679133513742082227
16,2022-05-23,Magic,Jak,2360.8016891520533,2334.532580200457972390010012,-26.26910895159534120174032667
17,2022-05-23,Jak,Magic,2211.7265543062704,2244.978304486336994144676035,33.25175018006662138186559613
18,2022-05-24,maboroshi,GodFather,1005.8971038788696,942.3953822760314039015729527,-63.50172160283823936596218618
19,2022-05-24,GodFather,maboroshi,808.8142584174733,881.2669703352768822041673520,72.45271191780358479078700108
20,2022-05-26,Sum,Bus,2066.300351546592,2074.305940149402712933530243,8.005588602810630192558424434
21,2022-05-26,Bus,Sum,1759.2374876179822,1747.813037962900768887155616,-11.42444965508142786540843426
22,2022-05-27,軒,Rado,767.4162613942309,766.4722793588127576565643050,-0.9439820354181431487045973316
23,2022-05-27,Rado,軒,2050.254740840501,2050.635882163213399198475595,0.3811413227121999257815288331
24,2022-05-29,GodFather,Rado,881.2669703352769,880.2184175204081945574714801,-1.048552814868742918538581700
25,2022-05-29,Rado,GodFather,2050.6358821632134,2051.091354571126068652277342,0.4554724079126591397407417679
26,2022-05-31,Bus,Jak,1747.8130379629008,1809.989904565589035037485785,62.17686660268822749487580281
27,2022-05-31,Jak,Bus,2244.978304486337,2204.751285252142205555611564,-40.22701923419483225963516704
28,2022-06-01,軒,Chun,766.4722793588128,766.0271909003344665660910441,-0.4450884584783177006834985297
29,2022-06-01,Chun,軒,2177.88833841816,2178.069737154088643288303032,0.1813987359286965472324336361
30,2022-06-01,maboroshi,Sum,942.3953822760315,941.1743391849258280428437763,-1.221043091105627105924369291
31,2022-06-01,Sum,maboroshi,2074.305940149403,2074.841858682772044032164632,0.5359185333691578687213050499
32,2022-06-05,Sum,Rado,2074.841858682772,2050.599526084478825898055811,-24.24233259829317325804672711
33,2022-06-05,Rado,Sum,2051.091354571126,2076.089974861553351248006638,24.99862029042737546711910875
34,2022-06-06,Bus,Magic,1809.989904565589,1807.146158754890874835797563,-2.843745810698211069433041112
35,2022-06-06,Magic,Bus,2334.532580200458,2336.236893681808389642035336,1.704313481350247725138188106
36,2022-06-06,GodFather,Chun,880.2184175204081,879.6457301222760415815045639,-0.5726873981320968620948911586
37,2022-06-06,Chun,GodFather,2178.0697371540887,2178.320875135501097566643935,0.2511379814124269168453480354
38,2022-06-07,maboroshi,Jak,941.1743391849259,940.4158217072186394755098165,-0.7585174777072447075207590138
39,2022-06-07,Jak,maboroshi,2204.751285252142,2205.084683954351765932934485,0.3333987022095412974712770399
40,2022-06-09,maboroshi,Magic,940.4158217072186,940.1051980258736189995477414,-0.3106236813449644699641996753
41,2022-06-09,Magic,maboroshi,2336.2368936818084,2336.348103091674720162148133,0.1112094098663235121355504595
42,2022-06-11,Chun,Sum,2178.320875135501,2146.115892885583810875641319,-32.20498224991714449065537468
43,2022-06-11,Sum,Chun,2050.599526084479,2082.491005358209998078829182,31.89147927373115904019078395
44,2022-06-11,Jak,Rado,2205.084683954352,2219.405522498835541927813699,14.32083854448361104875724530
45,2022-06-11,Rado,Jak,2076.0899748615534,2061.828069822145543749532613,-14.26190503940785709270746724
46,2022-06-12,Chun,Jak,2146.115892885584,2176.475431684744061829199941,30.35953879916017239136055215
47,2022-06-12,Jak,Chun,2219.4055224988356,2192.071971695649454256419037,-27.33355080318612607974378346
48,2022-06-13,Magic,Rado,2336.3481030916746,2341.823715145514811106472288,5.475612053840208923424605953
49,2022-06-13,Rado,Magic,2061.8280698221456,2055.013653507713062088081950,-6.814416314432545670929959366
50,2022-06-13,GodFather,Sum,879.6457301222761,877.7894119672587973456399015,-1.856318155017266066205924113
51,2022-06-13,Sum,GodFather,2082.49100535821,2083.263884538442645060104038,0.7728791802328406611650245189
52,2022-06-20,maboroshi,Bus,940.1051980258736,931.6452611878221482337341570,-8.459936838051471138116352197
53,2022-06-20,Bus,maboroshi,1807.1461587548908,1812.228649162458299574476586,5.082490407567451288608753399
54,2022-06-25,Rado,Bus,2055.013653507713,2065.419089275398485005764785,10.40543576768536931898121793
55,2022-06-25,Bus,Rado,1812.2286491624584,1798.391238268815362171836202,-13.83741089364303377737942621
56,2022-06-28,Chun,Magic,2176.475431684744,2164.747911445253557578683132,-11.72752023949029553260258430
57,2022-06-28,Magic,Chun,2341.8237151455146,2350.914193596693405167307158,9.090478451178807487585966475
58,2022-06-30,Chun,Bus,2164.7479114452535,2122.454779783413889315768849,-42.29313166183963206284888472
59,2022-06-30,Bus,Chun,1798.3912382688154,1853.526796103755883467853328,55.13555783494046956464115323
60,2022-07-01,GodFather,Jak,877.7894119672588,876.4550484629849009049750638,-1.334363504273942200835164935
61,2022-07-01,Jak,GodFather,2192.0719716956496,2192.644563141935068691277531,0.5725914462854600999389114102
62,2022-07-04,maboroshi,Rado,931.6452611878221,929.9478222996883329115220530,-1.697438888133810344676561836
63,2022-07-04,Rado,maboroshi,2065.4190892753986,2066.167294348010513314561190,0.7482050726118942490343171267
64,2022-07-07,MYKiller,honpan,2073.6285955357484,2040.660007163471810598781612,-32.96858837227663480102242879
65,2022-07-07,honpan,MYKiller,1892.0182640573132,1933.138951033535028814536023,41.12068697622181125133062438
66,2022-07-08,Tracy,maboroshi,906.3327413888196,851.1837471512423598911476729,-55.14899423757725345731215202
67,2022-07-08,maboroshi,Tracy,929.9478222996884,984.2288674496138003231749858,54.28104514992543159304438040
68,2022-07-09,軒,Bus,766.0271909003345,759.8714137933592209849409008,-6.155777106975296224616915586
69,2022-07-09,Bus,軒,1853.526796103756,1856.664459901943463964829660,3.137663798187522306665285470
70,2022-07-09,Walter,Sum,1690.830937177175,1683.869396773322003889421492,-6.961540403852969950588860433
71,2022-07-09,Sum,Walter,2083.2638845384427,2088.827625740303723101189296,5.563741201861069962998788111
72,2022-07-09,Rado,Jason,2066.1672943480107,2026.107756147318254675766251,-40.05953820069247316890043863
73,2022-07-09,Jason,Rado,2137.7801472124584,2181.465757096516849776489313,43.68560988405849005863222038
74,2022-07-09,Tommy,Dominic,1294.7018155720446,1288.861896989090116275109619,-5.839918582954435752254642448
75,2022-07-09,Dominic,Tommy,2079.031175173067,2082.331508377108356713752614,3.300333204041443738124685028
76,2022-07-09,Magic,Chun,2350.9141935966936,2357.472008068079296825334610,6.557814471385675168011517778
77,2022-07-09,Chun,Magic,2122.454779783414,2113.194278198720229838459003,-9.260501584693639315714877816
78,2022-07-10,GodFather,don,876.4550484629849,873.1482283046208034379210875,-3.306820158364101761925165299
79,2022-07-10,don,GodFather,2095.7140636249114,2097.064164584603862298072945,1.350100959692430027180980564
80,2022-07-12,Dominic,honpan,2082.3315083771085,2051.200970843219581443187941,-31.13053753388896685901547582
81,2022-07-12,honpan,Dominic,1933.138951033535,1970.593028007673052176483020,37.45407697413802981516257655
82,2022-07-13,Bus,Sum,1856.6644599019435,1833.802100097841445101370239,-22.86235980410202849510484811
83,2022-07-13,Sum,Bus,2088.8276257403036,2106.096455038897679476359738,17.26882929859410520090150643
84,2022-07-15,maboroshi,Magic,984.2288674496137,982.3937760445449853223182964,-1.835091405068759288951498005
85,2022-07-15,Magic,maboroshi,2357.4720080680795,2358.125299186747134960040498,0.6532911186676313867960604247
86,2022-07-17,don,Jason,2097.064164584604,2107.906303406487078225078726,10.84213882188309178415379841
87,2022-07-17,Jason,don,2181.465757096517,2169.884728765241306053458404,-11.58102833127557552118537182
88,2022-07-23,honpan,Magic,1970.593028007673,1956.195224735879285688735321,-14.39780327179367024813335405
89,2022-07-23,Magic,honpan,2358.1252991867473,2368.079668942976354167141144,9.954369756229084025645752274
90,2022-07-24,Sum,don,2106.0964550388976,2080.077973015684288919117238,-26.01848202321331328860862963
91,2022-07-24,don,Sum,2107.906303406487,2133.861707519500368308527923,25.95540411301332753386401273
92,2022-07-27,honpan,Sum,1956.1952247358793,1927.864941282761969500973895,-28.33028345311729519820485283
93,2022-07-27,Sum,honpan,2080.077973015684,2104.346552058727532086511040,24.26857904304336693867937651
94,2022-07-30,don,Magic,2133.8617075195,2122.751871492128344830514127,-11.10983602737186957228257360
95,2022-07-30,Magic,don,2368.0796689429762,2375.840596277775305151933990,7.760927334799064210144988774
96,2022-07-31,don,Mike,2122.7518714921284,2112.338721040290644068673403,-10.41315045183778589481286612
97,2022-07-31,Mike,don,2331.1964260320856,2338.820208587882899609114648,7.623782555797316762338997022
98,2022-08-02,Bus,Magic,1833.8021000978415,1831.499359739676394669355740,-2.302740358165108487458984207
99,2022-08-02,Magic,Bus,2375.840596277775,2377.161019302905018143887022,1.320423025129869806645759803
100,2022-08-04,早晨,Tracy,1591.7258713441793,1534.460380327061523288625326,-57.26549101711774461912267283
101,2022-08-04,Tracy,早晨,851.1837471512424,953.0735696012928669115512298,101.8898224500504524367146791
102,2022-08-07,Rado,Chun,2026.1077561473182,2007.800016516700235430852292,-18.30773963061800591565876651
